source_id,url,label
L1-agua,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Agua' en datos.cdmx.gob.mx
L1-transporte,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Transporte público' en datos.cdmx.gob.mx
L1-calles,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Calles y banquetas' en datos.cdmx.gob.mx
L1-basura,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Basura y limpia' en datos.cdmx.gob.mx
L1-parques,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Parques y espacios públicos' en datos.cdmx.gob.mx
L1-seguridad,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Seguridad' en datos.cdmx.gob.mx
L1-justicia,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Justicia' en datos.cdmx.gob.mx
L1-salud,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Salud' en datos.cdmx.gob.mx
L1-educacion,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Educación' en datos.cdmx.gob.mx
L1-apoyos,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Apoyos sociales' en datos.cdmx.gob.mx
L1-cultura,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Cultura y deporte' en datos.cdmx.gob.mx
L1-medioambiente,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Medio ambiente' en datos.cdmx.gob.mx
L1-alumbrado,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Alumbrado' en datos.cdmx.gob.mx
L1-gobierno,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Gobierno y administración' en datos.cdmx.gob.mx
L1-deuda,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Deuda' en datos.cdmx.gob.mx
L1-otros,https://datos.cdmx.gob.mx/dataset/presupuesto-de-egresos,Ver 'Otros' en datos.cdmx.gob.mx
L2-E196,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Ciclistas y Peatones · Movilidad'
L2-E005,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Gobernanza Digital'
L2-S023,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'FOCOFESS · Empresas Sociales'
L2-S232,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Ayudas Comunidad LGBTTTIQ+'
L2-S051,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Promotores Culturales'
L2-E197,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Ponte Pila · Deporte Comunitario'
L2-P056,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Política del Medio Ambiente'
L2-E042,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Transporte Público Masivo · Operación'
L2-R003,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Órganos Autónomos y de Gobierno'
L2-P055,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Coordinación General de Gobierno'
L2-E109,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Apoyo Integral a Víctimas'
L2-P005,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Calidad del Aire'
L2-O009,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Profesionalización de Funcionarios'
L2-E172,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Atención Médica de Segundo Nivel'
L2-E160,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Servicio de Agua Potable'
L2-P027,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Prevención de la Discriminación'
L2-U036,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Producción Fílmica'
L2-E022,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Cuidado de Bosques y Suelo de Conservación'
L2-E163,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Bienestar Infancia y Adolescencia'
L2-O007,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Mejora de la Función Pública'
L2-E180,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Educación Complementaria'
L2-U045,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Subsidios Ambientales'
L2-E167,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Movilidad Pública y Privada'
L2-E170,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Profesionalización Policial'
L2-O004,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Tecnología Gubernamental'
